MSN,YYYYMM,Value,Column_Order,Description,Unit
TERCBUS,201912,2163.653,2,Residential Sector,Trillion Btu
TERCBUS,202001,2247.624,2,Residential Sector,Trillion Btu
TERCBUS,202002,2016.011,2,Residential Sector,Trillion Btu
TERCBUS,202003,1696.91,2,Residential Sector,Trillion Btu
TERCBUS,202004,1464.366,2,Residential Sector,Trillion Btu
TERCBUS,202005,1432.392,2,Residential Sector,Trillion Btu
TERCBUS,202006,1544.862,2,Residential Sector,Trillion Btu
TERCBUS,202007,1842.892,2,Residential Sector,Trillion Btu
TERCBUS,202008,1752.714,2,Residential Sector,Trillion Btu
TERCBUS,202009,1422.236,2,Residential Sector,Trillion Btu
TERCBUS,202010,1375.67,2,Residential Sector,Trillion Btu
TERCBUS,202011,1571.527,2,Residential Sector,Trillion Btu
TERCBUS,202012,2278.769,2,Residential Sector,Trillion Btu
TERCBUS,202101,2437.91,2,Residential Sector,Trillion Btu
TERCBUS,202102,2337.747,2,Residential Sector,Trillion Btu
TERCBUS,202103,1842.906,2,Residential Sector,Trillion Btu
TERCBUS,202104,1388.805,2,Residential Sector,Trillion Btu
TERCBUS,202105,1351.295,2,Residential Sector,Trillion Btu
TERCBUS,202106,1557.355,2,Residential Sector,Trillion Btu
TERCBUS,202107,1732.656,2,Residential Sector,Trillion Btu
TERCBUS,202108,1750.572,2,Residential Sector,Trillion Btu
TERCBUS,202109,1450.103,2,Residential Sector,Trillion Btu
TERCBUS,202110,1313.456,2,Residential Sector,Trillion Btu
TERCBUS,202111,1637.766,2,Residential Sector,Trillion Btu
TECCBUS,201912,1640.077,4,Commercial Sector,Trillion Btu
TECCBUS,202001,1679.855,4,Commercial Sector,Trillion Btu
TECCBUS,202002,1556.814,4,Commercial Sector,Trillion Btu
TECCBUS,202003,1435.431,4,Commercial Sector,Trillion Btu
TECCBUS,202004,1194.291,4,Commercial Sector,Trillion Btu
TECCBUS,202005,1193.741,4,Commercial Sector,Trillion Btu
TECCBUS,202006,1293.944,4,Commercial Sector,Trillion Btu
TECCBUS,202007,1440.775,4,Commercial Sector,Trillion Btu
TECCBUS,202008,1402.768,4,Commercial Sector,Trillion Btu
TECCBUS,202009,1274.643,4,Commercial Sector,Trillion Btu
TECCBUS,202010,1324.313,4,Commercial Sector,Trillion Btu
TECCBUS,202011,1345.558,4,Commercial Sector,Trillion Btu
TECCBUS,202012,1601.856,4,Commercial Sector,Trillion Btu
TECCBUS,202101,1630.952,4,Commercial Sector,Trillion Btu
TECCBUS,202102,1578.242,4,Commercial Sector,Trillion Btu
TECCBUS,202103,1440.438,4,Commercial Sector,Trillion Btu
TECCBUS,202104,1280.061,4,Commercial Sector,Trillion Btu
TECCBUS,202105,1306.109,4,Commercial Sector,Trillion Btu
TECCBUS,202106,1406.284,4,Commercial Sector,Trillion Btu
TECCBUS,202107,1467.777,4,Commercial Sector,Trillion Btu
TECCBUS,202108,1495.43,4,Commercial Sector,Trillion Btu
TECCBUS,202109,1337.157,4,Commercial Sector,Trillion Btu
TECCBUS,202110,1352.353,4,Commercial Sector,Trillion Btu
TECCBUS,202111,1456.824,4,Commercial Sector,Trillion Btu
TEICBUS,201912,2770.024,6,Industrial Sector,Trillion Btu
TEICBUS,202001,2778.846,6,Industrial Sector,Trillion Btu
TEICBUS,202002,2636.262,6,Industrial Sector,Trillion Btu
TEICBUS,202003,2700.749,6,Industrial Sector,Trillion Btu
TEICBUS,202004,2300.882,6,Industrial Sector,Trillion Btu
TEICBUS,202005,2417.723,6,Industrial Sector,Trillion Btu
TEICBUS,202006,2456.108,6,Industrial Sector,Trillion Btu
TEICBUS,202007,2620.217,6,Industrial Sector,Trillion Btu
TEICBUS,202008,2681.883,6,Industrial Sector,Trillion Btu
TEICBUS,202009,2530.201,6,Industrial Sector,Trillion Btu
TEICBUS,202010,2657.734,6,Industrial Sector,Trillion Btu
TEICBUS,202011,2668.288,6,Industrial Sector,Trillion Btu
TEICBUS,202012,2772.268,6,Industrial Sector,Trillion Btu
TEICBUS,202101,2777.072,6,Industrial Sector,Trillion Btu
TEICBUS,202102,2307,6,Industrial Sector,Trillion Btu
TEICBUS,202103,2629.702,6,Industrial Sector,Trillion Btu
TEICBUS,202104,2618.725,6,Industrial Sector,Trillion Btu
TEICBUS,202105,2739.289,6,Industrial Sector,Trillion Btu
TEICBUS,202106,2738.967,6,Industrial Sector,Trillion Btu
TEICBUS,202107,2745.69,6,Industrial Sector,Trillion Btu
TEICBUS,202108,2835.002,6,Industrial Sector,Trillion Btu
TEICBUS,202109,2657.337,6,Industrial Sector,Trillion Btu
TEICBUS,202110,2706.75,6,Industrial Sector,Trillion Btu
TEICBUS,202111,2756.354,6,Industrial Sector,Trillion Btu
TEACBUS,201912,2373.342,8,Transportation Sector,Trillion Btu
TEACBUS,202001,2267.046,8,Transportation Sector,Trillion Btu
TEACBUS,202002,2159.578,8,Transportation Sector,Trillion Btu
TEACBUS,202003,2052.258,8,Transportation Sector,Trillion Btu
TEACBUS,202004,1558.257,8,Transportation Sector,Trillion Btu
TEACBUS,202005,1784.271,8,Transportation Sector,Trillion Btu
TEACBUS,202006,1976.626,8,Transportation Sector,Trillion Btu
TEACBUS,202007,2151.382,8,Transportation Sector,Trillion Btu
TEACBUS,202008,2164.278,8,Transportation Sector,Trillion Btu
TEACBUS,202009,2067.173,8,Transportation Sector,Trillion Btu
TEACBUS,202010,2115.656,8,Transportation Sector,Trillion Btu
TEACBUS,202011,1994.634,8,Transportation Sector,Trillion Btu
TEACBUS,202012,2055.574,8,Transportation Sector,Trillion Btu
TEACBUS,202101,2020.784,8,Transportation Sector,Trillion Btu
TEACBUS,202102,1843.339,8,Transportation Sector,Trillion Btu
TEACBUS,202103,2189.327,8,Transportation Sector,Trillion Btu
TEACBUS,202104,2155.399,8,Transportation Sector,Trillion Btu
TEACBUS,202105,2302.564,8,Transportation Sector,Trillion Btu
TEACBUS,202106,2301.257,8,Transportation Sector,Trillion Btu
TEACBUS,202107,2383.671,8,Transportation Sector,Trillion Btu
TEACBUS,202108,2393.297,8,Transportation Sector,Trillion Btu
TEACBUS,202109,2255.51,8,Transportation Sector,Trillion Btu
TEACBUS,202110,2324.219,8,Transportation Sector,Trillion Btu
TEACBUS,202111,2291.493,8,Transportation Sector,Trillion Btu
TEBCBUS,201912,18.22,10,Bitcoin,Trillion Btu
TEBCBUS,202001,20.71,10,Bitcoin,Trillion Btu
TEBCBUS,202002,20.61,10,Bitcoin,Trillion Btu
TEBCBUS,202003,19.38,10,Bitcoin,Trillion Btu
TEBCBUS,202004,18.39,10,Bitcoin,Trillion Btu
TEBCBUS,202005,18.26,10,Bitcoin,Trillion Btu
TEBCBUS,202006,15.18,10,Bitcoin,Trillion Btu
TEBCBUS,202007,16.34,10,Bitcoin,Trillion Btu
TEBCBUS,202008,18.08,10,Bitcoin,Trillion Btu
TEBCBUS,202009,18.36,10,Bitcoin,Trillion Btu
TEBCBUS,202010,18.29,10,Bitcoin,Trillion Btu
TEBCBUS,202011,20.54,10,Bitcoin,Trillion Btu
TEBCBUS,202012,24.16,10,Bitcoin,Trillion Btu
TEBCBUS,202101,30.44,10,Bitcoin,Trillion Btu
TEBCBUS,202102,28.8,10,Bitcoin,Trillion Btu
TEBCBUS,202103,33.47,10,Bitcoin,Trillion Btu
TEBCBUS,202104,32.25,10,Bitcoin,Trillion Btu
TEBCBUS,202105,34.05,10,Bitcoin,Trillion Btu
TEBCBUS,202106,24.77,10,Bitcoin,Trillion Btu
TEBCBUS,202107,19.83,10,Bitcoin,Trillion Btu
TEBCBUS,202108,24.88,10,Bitcoin,Trillion Btu
TEBCBUS,202109,27.2,10,Bitcoin,Trillion Btu
TEBCBUS,202110,30.64,10,Bitcoin,Trillion Btu
TEBCBUS,202111,9.52,10,Bitcoin,Trillion Btu
